21457	154631
33514	60588
21811	88639
33950	86303
21588	154091
33726	154336
21394	234923
25174	237751
19555	326806
23577	334004
19338	301118
16851	353560
12814	304807
10892	477887
7359	412954
6101	478410
2997	396187
4187	475608
1339	381871
9316	470133
2259	465002
10326	430296
9213	333608
16549	283727
14964	280313
22254	213947
19907	211937
30339	129179
23470	127722
20695	31931
32508	30881
21329	19967
26686	19208
15632	45002
27844	43930
16255	104312
29061	104264
17805	179407
21465	180835
16758	267142
21093	271240
18857	268185
22891	278722
18857	238438
16691	304743
12829	248180
10989	306169
7287	232393
6240	307439
3145	219861
10755	305406
1349	301215
9469	297046
2217	293092
10149	251568
9064	353152
16604	314012
14948	311671
22088	236327
19919	233797
18028	144458
30334	142861
20661	133996
33277	132599
