21	8437
43	2166
65	224
87	10
22	8090
44	2006
66	187
88	8
23	7775
45	1857
67	172
89	5
24	7313
46	1663
68	154
-80	19
25	6937
47	1512
69	126
-111	0
-81	14
26	6582
48	1401
-60	412
-82	15
27	6275
49	1284
-113	0
-61	366
-83	12
28	5935
-40	2884
-62	335
-84	9
29	5572
-41	2679
-63	310
-85	10
-116	0
-20	8894
-42	2440
-64	276
-86	7
-21	8583
-43	2272
-65	243
-87	6
-22	8285
-44	2056
-66	207
-88	7
-23	7929
-45	1883
-67	183
-89	7
-24	7537
-46	1750
-68	166
-25	7148
-47	1592
-69	138
0	14956
-26	6792
-48	1458
1	13183
100	0
-27	6487
-49	1332
101	0
2	13086
-28	6067
102	0
3	13003
-29	5781
103	0
4	12934
5	12773
6	12624
7	12458
8	12280
9	12092
90	3
91	3
70	110
92	6
71	104
93	6
50	1168
72	90
94	5
51	1068
73	89
95	5
30	5230
52	939
74	89
96	4
31	5023
53	849
75	78
97	3
10	11827
32	4735
54	775
76	68
98	3
11	11585
33	4520
55	690
77	58
99	1
12	11331
34	4236
56	626
78	53
-90	8
13	11076
35	3969
57	560
79	46
-91	7
14	10822
36	3747
58	522
-1	13218
-70	114
-92	6
15	10513
37	3541
59	467
-2	13047
-71	109
-93	5
16	10209
38	3299
-3	12951
-50	1204
-72	92
-94	5
17	9875
39	3075
-103	0
-4	12826
-51	1088
-73	82
-95	3
18	9571
-30	5497
-5	12587
-52	976
-74	73
-96	1
19	9146
-105	0
-31	5152
-53	871
-6	12452
-75	60
-97	0
-10	11656
-32	4854
-54	804
-7	12284
-76	54
-98	0
-11	11402
-33	4610
-55	712
-77	41
-8	12098
-99	0
-108	0
-12	11144
-34	4356
-56	632
-78	31
-9	11862
-13	10879
-35	4114
-57	543
-79	26
-14	10650
-36	3865
-58	496
-15	10320
-37	3604
-59	458
111	0
-16	10055
-38	3344
-17	9824
-39	3122
-18	9514
-19	9202
80	44
81	32
60	409
82	28
61	370
83	22
40	2858
62	325
84	20
41	2609
63	299
85	15
20	8810
42	2397
64	261
86	10
